id,task_id,name,worker_id,task_duration
97d25ab9e1e641d1bf0c519155d25d5b,10686,Image Labelling : Explicit Treatment,41493,3.618
49e8c1a2e0eb4cbdbc4700b5e66d23e0,10686,Image Labelling : Explicit Treatment,41493,100.421
a06d0c9d50c34e3da56c8a13d8c73f97,10686,Image Labelling : Explicit Treatment,41493,3.919
4a8498a5bbaa4a17a6effecfc7231645,10686,Image Labelling : Explicit Treatment,27125,5.448
4ccdd374eea94a188a155de697d63c8a,10686,Image Labelling : Explicit Treatment,27125,10.527
7f45dd4208494211a2d69e8521df3f29,10686,Image Labelling : Explicit Treatment,27125,5.185
5d53700deedc48f0975fbc9ac58e0e5b,10686,Image Labelling : Explicit Treatment,41627,5.489
77ddbb817b734ded85a0696c3f3e4865,10686,Image Labelling : Explicit Treatment,28015,3.257
874c24bb7246499c81bdb51f3149f0f0,10686,Image Labelling : Explicit Treatment,7079,14.58
c22e2c2e58fe4f7685591de25614dbe4,10686,Image Labelling : Explicit Treatment,7079,6.975
c9006e8882f242e994e5968e13020a63,10686,Image Labelling : Explicit Treatment,7079,15.848
8004a993eab04416b437f88eb02acd6c,10686,Image Labelling : Explicit Treatment,42078,7.223
a9ecdd9f553249e29b5202ba5d98046f,10686,Image Labelling : Explicit Treatment,41446,11.007
b86ea8c50c2541e690dc345c09f74622,10686,Image Labelling : Explicit Treatment,41446,6.905
b9969b73f8de4e569cb03a0be420104e,10686,Image Labelling : Explicit Treatment,41446,54.645
0650c6eb380b46dfa92647cccbb4dcf8,10686,Image Labelling : Explicit Treatment,24432,72.622
f6554a2f94a94793b87be5a4deba9ceb,10686,Image Labelling : Explicit Treatment,24432,16.274
068d51b130ee4677937f769b9d151e3b,10686,Image Labelling : Explicit Treatment,9621,6.007
08254dab292045649cc084416c15a5c6,10686,Image Labelling : Explicit Treatment,9621,7.525
046e3e50c94d4af390df9532cdc4cdaf,10686,Image Labelling : Explicit Treatment,11948,12.724
15a8d3b9cc2a414a8ff4db052d92f151,10686,Image Labelling : Explicit Treatment,11948,12.073
192fb9e13fc84e9f860c1953893b40af,10686,Image Labelling : Explicit Treatment,11948,11.954
c7e90222d68841bc922ac7d296bf31ad,10686,Image Labelling : Explicit Treatment,38990,5.603
e6c3b61ceb5c4521a15073a9d7009748,10686,Image Labelling : Explicit Treatment,2262,81.735
e745688398574e45a04b6425042d7b5e,10686,Image Labelling : Explicit Treatment,28426,6.013
fcfecdf37abc4ffb9988f943e270cded,10686,Image Labelling : Explicit Treatment,41630,11.755
4d5541cbc04d41108cb06d5e156f4c5f,10686,Image Labelling : Explicit Treatment,11748,3.723
e551c97a81d94c20bf456629d163eb4a,10686,Image Labelling : Explicit Treatment,42567,34.628
876969cf9f8943069cee577352139701,10686,Image Labelling : Explicit Treatment,11757,2.871
d5b5bea37a574fa1a67a8ec1357567d5,10686,Image Labelling : Explicit Treatment,2270,5.162
f7079923c78241d892b8ff0a00b2b863,10686,Image Labelling : Explicit Treatment,17697,25.531
ec99244c5438481c8ac0b0b4e35693ad,10686,Image Labelling : Explicit Treatment,2318,39.963
3accbd38a3054b7eba6c3ce3f3b8c3f5,10686,Image Labelling : Explicit Treatment,11948,5.386
f43c6e5402bb446b9dd563265c292bdc,10686,Image Labelling : Explicit Treatment,19190,16.579
0e8f02d1448b431da838db35abc503c5,10686,Image Labelling : Explicit Treatment,20426,21.185
